shipment_id,risk_tier,delay_probability,eta,hours_to_sla,origin,destination,carrier,transport_mode,top_risk_factors,action_required,alert_generated_at,alert_type
SHP100063,CRITICAL,1.0,2024-08-21,0,Dubai,London,FedEx,Air,"['Disruption: Natural Disaster [score: 10.5]', 'Port congestion [score: 9.0]', 'Weather severity (Snow) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100064,CRITICAL,1.0,2024-09-01,0,Dubai,Singapore,DHL,Air,"['Disruption: Natural Disaster [score: 10.1]', 'Customs hold active [score: 8.0]', 'High historical delay rate [score: 3.4]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100065,CRITICAL,1.0,2024-10-19,0,Mumbai,New York,Maersk,Rail,"['Disruption: Natural Disaster [score: 9.9]', 'Traffic congestion level (Rail) [score: 5.0]', 'High historical delay rate [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100066,CRITICAL,1.0,2024-10-15,0,Dubai,London,DHL,Air,"['Disruption: Natural Disaster [score: 9.9]', 'Port congestion [score: 6.0]', 'Weather severity (Heavy Rain) [score: 5.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100067,CRITICAL,1.0,2023-07-16,0,Rotterdam,London,DB Schenker,Air,"['Disruption: Natural Disaster [score: 9.7]', 'Port congestion [score: 8.0]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100068,CRITICAL,1.0,2024-10-22,0,Rotterdam,Sydney,Maersk,Rail,"['Disruption: Natural Disaster [score: 9.5]', 'Customs hold active [score: 8.0]', 'Weather severity (Fog) [score: 4.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100069,CRITICAL,1.0,2023-07-27,0,Shanghai,New York,UPS,Rail,"['Weather severity (Blizzard) [score: 9.1]', 'Traffic congestion level (Rail) [score: 5.0]', 'Port congestion [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100070,CRITICAL,1.0,2024-05-06,0,Los Angeles,Tokyo,Maersk,Rail,"['Port congestion [score: 10.0]', 'Customs hold active [score: 8.0]', 'Weather severity (Fog) [score: 4.4]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100071,CRITICAL,1.0,2024-09-24,0,Los Angeles,London,UPS,Sea,"['Weather severity (Storm) [score: 7.7]', 'Port congestion [score: 5.0]', 'Traffic congestion level (Sea) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100072,CRITICAL,1.0,2023-05-11,0,Hamburg,Chicago,XPO Logistics,Sea,"['Weather severity (Storm) [score: 7.5]', 'Traffic congestion level (Sea) [score: 4.0]', 'Port congestion [score: 3.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100073,CRITICAL,1.0,2024-04-23,0,Rotterdam,New York,Maersk,Rail,"['Weather severity (Blizzard) [score: 8.9]', 'Customs hold active [score: 8.0]', 'Disruption: Equipment Failure [score: 5.9]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100074,CRITICAL,1.0,2023-12-20,0,Rotterdam,Tokyo,UPS,Rail,"['Weather severity (Snow) [score: 5.5]', 'Traffic congestion level (Rail) [score: 4.0]', 'Disruption: Traffic Jam [score: 3.8]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100075,CRITICAL,0.9998,2024-10-17,0,Shanghai,Chicago,DB Schenker,Sea,"['Traffic congestion level (Sea) [score: 6.0]', 'Port congestion [score: 6.0]', 'High route risk [score: 3.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100076,CRITICAL,1.0,2023-09-26,0,Shanghai,New York,XPO Logistics,Air,"['Weather severity (Heavy Rain) [score: 4.7]', 'Disruption: Traffic Jam [score: 4.1]', 'High route risk [score: 3.5]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100077,CRITICAL,1.0,2023-09-06,0,Hamburg,Tokyo,Maersk,Road,"['Traffic congestion level (Road) [score: 9.0]', 'Customs hold active [score: 8.0]', 'Weather severity (Snow) [score: 6.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100078,CRITICAL,1.0,2024-02-09,0,Hamburg,Singapore,DB Schenker,Rail,"['Weather severity (Storm) [score: 8.5]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100079,CRITICAL,1.0,2023-02-28,0,Mumbai,Sydney,FedEx,Air,"['Disruption: Natural Disaster [score: 10.0]', 'Port congestion [score: 9.0]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100080,CRITICAL,0.9837,2024-05-04,0,Hamburg,London,DB Schenker,Road,"['Traffic congestion level (Road) [score: 7.0]', 'High historical delay rate [score: 3.8]', 'Low carrier reliability [score: 1.4]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100081,CRITICAL,1.0,2024-08-11,0,Mumbai,Chicago,FedEx,Road,"['Port congestion [score: 10.0]', 'Traffic congestion level (Road) [score: 9.0]', 'Disruption: Port Strike [score: 8.6]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100082,CRITICAL,1.0,2024-05-27,0,Dubai,New York,UPS,Road,"['Weather severity (Blizzard) [score: 8.5]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 7.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100083,CRITICAL,1.0,2023-06-28,0,Rotterdam,Singapore,Maersk,Air,"['Disruption: Port Strike [score: 8.9]', 'Traffic congestion level (Air) [score: 4.0]', 'Port congestion [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100084,CRITICAL,1.0,2024-08-27,0,Rotterdam,New York,DHL,Road,"['Traffic congestion level (Road) [score: 7.0]', 'Port congestion [score: 6.0]', 'Disruption: Equipment Failure [score: 5.7]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100085,CRITICAL,1.0,2023-05-06,0,Shanghai,New York,XPO Logistics,Rail,"['Disruption: Natural Disaster [score: 10.0]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100086,CRITICAL,1.0,2024-10-27,0,Dubai,London,DB Schenker,Road,"['Disruption: Natural Disaster [score: 10.0]', 'Customs hold active [score: 8.0]', 'Traffic congestion level (Road) [score: 7.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100087,CRITICAL,1.0,2024-08-07,0,Dubai,Sydney,UPS,Road,"['Port congestion [score: 10.0]', 'Disruption: Port Strike [score: 9.3]', 'Traffic congestion level (Road) [score: 9.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100088,CRITICAL,1.0,2024-11-16,0,Rotterdam,Singapore,UPS,Sea,"['Disruption: Natural Disaster [score: 9.7]', 'Weather severity (Blizzard) [score: 8.8]', 'Port congestion [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100089,CRITICAL,1.0,2023-07-19,0,Rotterdam,London,Maersk,Road,"['Port congestion [score: 9.0]', 'Traffic congestion level (Road) [score: 6.0]', 'Disruption: Traffic Jam [score: 4.1]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100090,CRITICAL,1.0,2023-04-16,0,Shanghai,New York,DB Schenker,Road,"['Disruption: Port Strike [score: 8.8]', 'Traffic congestion level (Road) [score: 8.0]', 'Port congestion [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
