shipment_id,risk_tier,delay_probability,primary_action,primary_description,fallback_action,cost_impact,estimated_time_saving,sla_impact,confidence,reasoning
SHP100011,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100012,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100013,CRITICAL,0.9998,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100014,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100015,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100016,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100017,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100018,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100019,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100020,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100021,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100022,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100023,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100024,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100025,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100026,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100027,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100028,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100029,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100030,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100031,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100032,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100033,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100034,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100035,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100036,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100037,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100038,CRITICAL,1.0,Expedite Customs Clearance,Engage customs broker for accelerated clearance to prevent dwell time accumulation.,Priority / Express Handling,Low,8–24 hours,Medium-High,High,"['Customs clearance flag active; broker escalation cuts dwell time.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100039,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100040,CRITICAL,0.9957,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (83%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100041,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100042,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100043,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100044,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100045,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100046,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100047,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100048,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100049,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100050,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100051,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100052,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100053,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100054,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100055,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100056,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100057,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100058,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100059,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100060,CRITICAL,0.9998,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100061,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100062,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100063,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100064,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100065,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100066,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100067,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100068,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100069,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100070,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100071,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100072,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100073,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100074,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100075,CRITICAL,0.9998,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100076,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (82%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100077,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100078,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100079,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100080,CRITICAL,0.9837,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100081,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100082,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100083,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100084,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100085,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100086,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100087,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100088,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100089,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100090,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100091,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100092,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100093,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100094,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (84%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100096,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100097,CRITICAL,1.0,Expedite Customs Clearance,Engage customs broker for accelerated clearance to prevent dwell time accumulation.,Priority / Express Handling,Low,8–24 hours,Medium-High,High,"['Customs clearance flag active; broker escalation cuts dwell time.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100098,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100099,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100100,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100101,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
