shipment_id,origin,destination,carrier,transport_mode,shipment_date,planned_eta,planned_transit_days,days_in_transit,shipment_status,package_weight_kg,num_stops,customs_clearance_flag,weather_condition,weather_severity_score,traffic_congestion_level,port_congestion_score,disruption_type,disruption_impact_score,carrier_reliability_score,historical_delay_rate,route_risk_score,delay_probability,is_delayed,actual_delay_hours
SHP100017,Dubai,New York,XPO Logistics,Road,2023-12-01,2023-12-06,5,6,At Port,1434.93,3,1,Heavy Rain,5.25,7,1,Natural Disaster,9.8,0.82,0.228,0.32,1.0,1,76.7
SHP100018,Rotterdam,Singapore,UPS,Rail,2024-06-07,2024-06-18,11,16,Delayed,1224.59,1,1,Storm,7.59,3,1,Port Strike,8.72,0.896,0.096,0.34,1.0,1,61.0
SHP100019,Shanghai,Sydney,Maersk,Sea,2023-09-07,2023-09-25,18,7,Delayed,3338.05,4,0,Storm,8.02,3,3,Natural Disaster,10.42,0.873,0.066,0.3,1.0,1,91.5
SHP100020,Mumbai,Chicago,XPO Logistics,Rail,2024-05-01,2024-05-12,11,16,At Port,754.58,2,1,Storm,7.94,4,2,Port Strike,8.84,0.815,0.359,0.18,1.0,1,68.5
SHP100021,Dubai,London,FedEx,Rail,2024-04-22,2024-05-05,13,12,Delayed,2691.33,4,0,Heavy Rain,5.2,5,7,Equipment Failure,6.44,0.942,0.133,0.27,0.8382,1,41.9
SHP100022,Los Angeles,Sydney,Maersk,Air,2023-06-19,2023-06-24,5,9,Delayed,2273.77,2,0,Heavy Rain,5.14,2,6,Natural Disaster,9.68,0.846,0.119,0.4,1.0,1,74.5
SHP100023,Mumbai,Tokyo,Maersk,Road,2024-07-06,2024-07-12,6,10,In Transit,4738.81,5,1,Storm,7.75,6,2,None,0.0,0.855,0.2,0.32,1.0,1,69.0
SHP100024,Los Angeles,London,DB Schenker,Air,2024-08-15,2024-08-17,2,3,Customs Hold,3913.29,5,0,Heavy Rain,5.13,1,2,None,0.0,0.897,0.28,0.34,0.89,1,48.0
SHP100025,Dubai,Tokyo,FedEx,Road,2024-05-16,2024-05-24,8,11,In Transit,4128.76,4,0,Blizzard,9.02,8,8,Natural Disaster,10.42,0.927,0.314,0.32,1.0,1,35.0
SHP100026,Hamburg,New York,UPS,Rail,2024-08-06,2024-08-20,14,10,Customs Hold,2583.38,1,0,Blizzard,9.3,4,9,Natural Disaster,10.1,0.916,0.354,0.2,1.0,1,13.7
SHP100027,Dubai,Sydney,Maersk,Sea,2024-04-03,2024-04-23,20,12,Delayed,1759.38,3,1,Snow,6.08,6,9,Natural Disaster,9.84,0.844,0.399,0.29,1.0,1,30.4
SHP100028,Los Angeles,London,FedEx,Sea,2023-07-09,2023-08-02,24,23,Out for Delivery,3540.24,1,0,Clear,0.1,3,5,Equipment Failure,5.8,0.891,0.157,0.39,0.8217,1,25.2
SHP100029,Shanghai,Chicago,UPS,Sea,2024-08-10,2024-09-12,33,21,Delayed,759.06,1,0,Clear,0.44,6,10,None,0.0,0.913,0.207,0.14,0.5471,1,7.5
SHP100030,Hamburg,New York,DB Schenker,Rail,2023-08-20,2023-08-31,11,13,At Port,1199.71,2,0,Fog,4.11,2,2,Equipment Failure,5.71,0.86,0.1,0.43,1.0,1,20.1
SHP100031,Mumbai,Sydney,XPO Logistics,Rail,2023-10-23,2023-11-02,10,8,Out for Delivery,357.51,2,0,Clear,0.16,3,5,Port Strike,9.04,0.837,0.266,0.3,0.9379,1,72.5
SHP100032,Rotterdam,Singapore,DB Schenker,Road,2023-11-08,2023-11-18,10,2,Delayed,4753.96,5,0,Clear,0.23,8,10,Natural Disaster,9.73,0.836,0.276,0.11,0.8601,1,49.8
SHP100033,Hamburg,Sydney,DB Schenker,Rail,2024-03-22,2024-04-03,12,13,Out for Delivery,183.97,5,0,Rain,2.36,4,7,Equipment Failure,6.0,0.855,0.272,0.24,0.9961,1,34.2
SHP100034,Los Angeles,New York,Maersk,Air,2023-02-25,2023-02-28,3,7,At Port,3549.06,2,0,Storm,8.05,3,10,Natural Disaster,10.2,0.851,0.066,0.25,1.0,1,55.6
SHP100035,Rotterdam,Sydney,FedEx,Sea,2024-10-25,2024-11-27,33,17,In Transit,4320.2,2,0,Storm,7.97,6,9,None,0.0,0.9,0.37,0.29,0.968,1,73.1
SHP100036,Mumbai,Tokyo,DB Schenker,Road,2024-08-24,2024-09-03,10,15,In Transit,1915.16,5,1,Heavy Rain,5.04,9,4,Traffic Jam,4.37,0.856,0.393,0.43,1.0,1,9.9
SHP100037,Dubai,Sydney,XPO Logistics,Rail,2024-05-22,2024-05-30,8,13,Delayed,2347.72,1,0,Snow,6.41,2,3,Port Strike,8.91,0.835,0.269,0.35,1.0,1,36.5
SHP100038,Dubai,Sydney,XPO Logistics,Air,2024-01-25,2024-01-29,4,3,Out for Delivery,832.24,4,0,Blizzard,9.5,1,2,Equipment Failure,5.6,0.799,0.261,0.25,1.0,1,87.3
SHP100039,Shanghai,Tokyo,FedEx,Road,2023-05-30,2023-06-08,9,2,Out for Delivery,1277.01,4,0,Heavy Rain,4.88,7,5,Natural Disaster,10.08,0.932,0.108,0.27,0.9777,1,85.0
SHP100040,Mumbai,Tokyo,XPO Logistics,Sea,2024-08-24,2024-09-24,31,19,In Transit,4889.73,1,1,Storm,7.98,4,5,Traffic Jam,3.86,0.836,0.132,0.23,0.9463,1,29.1
SHP100041,Rotterdam,Singapore,XPO Logistics,Air,2023-10-21,2023-10-24,3,4,At Port,167.31,4,0,Snow,6.16,2,5,Natural Disaster,10.4,0.816,0.266,0.32,1.0,1,71.9
SHP100042,Shanghai,Tokyo,UPS,Rail,2024-07-06,2024-07-15,9,4,Customs Hold,3770.88,2,0,Rain,2.47,4,2,Port Strike,8.84,0.951,0.064,0.36,0.7695,1,64.2
SHP100043,Dubai,Singapore,Maersk,Road,2023-01-15,2023-01-19,4,5,In Transit,4576.32,3,0,Blizzard,9.08,8,9,Natural Disaster,9.73,0.836,0.03,0.15,1.0,1,64.3
SHP100044,Dubai,Sydney,XPO Logistics,Road,2023-02-16,2023-02-26,10,3,Delayed,3711.47,5,0,Clear,0.0,8,7,Port Strike,9.24,0.832,0.379,0.33,1.0,1,85.7
SHP100045,Dubai,New York,Maersk,Rail,2023-08-11,2023-08-23,12,3,Out for Delivery,3314.01,1,0,Clear,0.4,4,8,Traffic Jam,3.78,0.869,0.388,0.12,0.7023,1,7.4
SHP100046,Los Angeles,London,DHL,Sea,2023-08-01,2023-08-26,25,25,In Transit,659.45,1,0,Blizzard,9.36,4,2,Equipment Failure,6.04,0.891,0.323,0.45,1.0,1,77.1
SHP100047,Hamburg,Chicago,UPS,Air,2023-05-10,2023-05-15,5,7,Customs Hold,2290.48,3,0,Heavy Rain,5.09,4,9,None,0.45,0.892,0.036,0.28,0.7472,1,8.6
SHP100048,Mumbai,Sydney,Maersk,Air,2023-03-17,2023-03-19,2,2,Delayed,2151.28,5,0,Snow,6.05,3,9,Natural Disaster,10.1,0.846,0.132,0.3,1.0,1,82.8
SHP100049,Dubai,Chicago,XPO Logistics,Sea,2024-02-28,2024-03-31,32,6,Delayed,2159.67,1,0,Storm,7.75,4,2,Port Strike,8.97,0.823,0.055,0.34,1.0,1,79.1
SHP100050,Rotterdam,New York,DB Schenker,Road,2024-11-12,2024-11-19,7,5,In Transit,3813.15,1,0,Storm,7.65,9,6,Traffic Jam,3.61,0.889,0.341,0.18,1.0,1,78.6
SHP100051,Rotterdam,Chicago,DB Schenker,Air,2023-01-30,2023-02-02,3,5,At Port,1076.06,5,1,Snow,6.07,4,2,Traffic Jam,4.24,0.91,0.389,0.2,1.0,1,46.8
SHP100052,Hamburg,Tokyo,UPS,Road,2023-02-23,2023-02-26,3,4,At Port,1416.59,1,1,Fog,4.11,9,7,None,0.25,0.89,0.063,0.2,0.7676,1,41.0
SHP100053,Los Angeles,New York,DHL,Rail,2023-07-29,2023-08-09,11,9,At Port,360.84,3,0,Clear,0.25,3,9,None,0.03,0.889,0.107,0.15,0.4707,0,0.0
SHP100054,Mumbai,New York,Maersk,Air,2024-08-10,2024-08-15,5,6,Out for Delivery,2178.66,2,1,Fog,4.3,4,2,Natural Disaster,10.42,0.868,0.053,0.39,1.0,1,53.2
SHP100055,Mumbai,Tokyo,XPO Logistics,Road,2023-03-20,2023-03-26,6,5,Customs Hold,886.14,1,1,Heavy Rain,5.32,7,3,Port Strike,8.76,0.825,0.086,0.14,0.902,1,43.1
SHP100056,Rotterdam,Chicago,Maersk,Road,2023-03-11,2023-03-18,7,9,Out for Delivery,2970.6,5,1,Rain,1.81,9,2,Natural Disaster,9.87,0.872,0.129,0.2,1.0,1,47.6
SHP100057,Rotterdam,Singapore,FedEx,Rail,2023-11-26,2023-12-03,7,7,At Port,2620.58,4,0,Snow,5.84,2,8,Port Strike,8.67,0.954,0.114,0.28,0.9282,1,36.0
SHP100058,Los Angeles,Sydney,Maersk,Road,2023-03-09,2023-03-18,9,4,At Port,4838.5,3,1,Clear,0.41,7,6,Traffic Jam,4.08,0.845,0.074,0.22,0.6576,1,11.6
SHP100059,Dubai,New York,UPS,Rail,2024-11-17,2024-11-24,7,5,Out for Delivery,2538.69,1,0,Blizzard,8.84,5,5,Port Strike,9.5,0.892,0.079,0.17,1.0,1,65.6
SHP100060,Rotterdam,London,DB Schenker,Rail,2024-10-01,2024-10-14,13,11,Customs Hold,4828.0,3,1,Rain,1.94,4,4,Port Strike,9.28,0.863,0.109,0.36,0.9644,1,84.2
SHP100061,Hamburg,Tokyo,XPO Logistics,Rail,2024-01-27,2024-02-05,9,13,Delayed,1364.32,2,0,Blizzard,9.37,2,2,Traffic Jam,4.02,0.83,0.067,0.35,1.0,1,80.8
SHP100062,Shanghai,London,Maersk,Road,2024-02-10,2024-02-19,9,5,In Transit,3794.33,2,1,Storm,7.6,8,8,None,0.0,0.853,0.129,0.38,0.998,1,46.3
SHP100063,Shanghai,New York,FedEx,Road,2024-07-15,2024-07-22,7,4,Customs Hold,3159.96,1,0,Blizzard,9.14,9,9,Port Strike,9.34,0.931,0.21,0.35,1.0,1,70.7
SHP100064,Los Angeles,Sydney,FedEx,Road,2023-07-11,2023-07-19,8,8,Customs Hold,3736.71,3,0,Fog,4.01,6,6,Natural Disaster,9.97,0.886,0.262,0.24,1.0,1,77.0
SHP100065,Los Angeles,London,XPO Logistics,Air,2023-05-17,2023-05-19,2,7,At Port,219.51,2,0,Snow,5.68,2,5,Traffic Jam,4.28,0.853,0.194,0.12,1.0,1,85.7
SHP100066,Los Angeles,Tokyo,DB Schenker,Rail,2023-02-07,2023-02-14,7,10,At Port,3460.5,4,0,Storm,7.87,5,3,Traffic Jam,4.39,0.865,0.167,0.25,1.0,1,89.2
SHP100067,Rotterdam,Tokyo,FedEx,Rail,2023-07-04,2023-07-12,8,5,In Transit,4990.75,5,0,Storm,8.1,5,6,Equipment Failure,5.94,0.911,0.19,0.16,0.8511,1,54.1
SHP100068,Shanghai,New York,XPO Logistics,Rail,2023-02-01,2023-02-10,9,1,Out for Delivery,3815.54,4,0,Fog,3.86,2,6,Port Strike,9.18,0.833,0.381,0.35,1.0,1,53.7
SHP100069,Mumbai,Tokyo,XPO Logistics,Road,2023-07-10,2023-07-19,9,1,Customs Hold,2260.49,1,1,Clear,0.0,8,3,None,0.5,0.829,0.096,0.34,0.7509,1,71.9
SHP100070,Dubai,Tokyo,XPO Logistics,Road,2023-10-25,2023-10-30,5,8,In Transit,4018.41,4,0,Fog,4.29,7,6,Equipment Failure,5.53,0.839,0.231,0.38,1.0,1,61.1
SHP100071,Shanghai,New York,UPS,Rail,2024-02-24,2024-03-03,8,7,Delayed,2590.75,1,0,Fog,3.63,3,1,Natural Disaster,9.63,0.886,0.211,0.35,1.0,1,20.8
SHP100072,Los Angeles,Singapore,DHL,Road,2023-09-14,2023-09-21,7,10,At Port,1688.43,5,0,Heavy Rain,5.0,7,10,None,0.08,0.882,0.085,0.31,0.8974,1,72.0
SHP100073,Shanghai,New York,FedEx,Road,2024-03-02,2024-03-09,7,7,Customs Hold,1020.51,4,0,Blizzard,8.91,9,8,Equipment Failure,5.56,0.921,0.187,0.35,1.0,1,34.1
SHP100074,Dubai,Tokyo,XPO Logistics,Road,2024-06-11,2024-06-17,6,1,Delayed,4668.79,3,0,Rain,1.6,8,3,Traffic Jam,4.36,0.828,0.179,0.43,1.0,1,23.1
SHP100075,Hamburg,Sydney,DB Schenker,Rail,2023-01-24,2023-02-03,10,6,Delayed,3637.68,3,1,Heavy Rain,4.78,5,3,Natural Disaster,9.51,0.865,0.061,0.2,0.8981,1,35.0
SHP100076,Mumbai,New York,DB Schenker,Sea,2023-03-17,2023-04-20,34,17,Out for Delivery,4694.77,5,0,Fog,4.11,4,6,Traffic Jam,3.89,0.883,0.322,0.44,0.9775,1,23.4
SHP100077,Rotterdam,Sydney,DB Schenker,Air,2023-12-08,2023-12-13,5,9,In Transit,1682.2,5,1,Clear,0.43,3,5,Port Strike,9.49,0.879,0.301,0.16,0.9566,1,66.8
SHP100078,Los Angeles,Sydney,FedEx,Road,2024-03-02,2024-03-12,10,7,Out for Delivery,95.18,2,0,Snow,5.67,9,2,None,0.18,0.915,0.032,0.15,0.5859,1,25.6
SHP100079,Mumbai,Singapore,DHL,Rail,2024-04-27,2024-05-12,15,10,At Port,2421.16,5,0,Blizzard,8.88,3,5,Equipment Failure,6.03,0.913,0.228,0.26,0.9662,1,30.1
SHP100080,Los Angeles,London,UPS,Road,2023-11-21,2023-11-28,7,1,Customs Hold,1438.51,1,0,Snow,6.4,9,5,Natural Disaster,10.45,0.888,0.326,0.39,1.0,1,37.2
SHP100081,Mumbai,Singapore,UPS,Rail,2023-10-05,2023-10-15,10,7,Customs Hold,26.4,2,0,Rain,1.73,3,2,Equipment Failure,5.91,0.951,0.293,0.12,0.6966,1,29.7
SHP100082,Mumbai,Sydney,XPO Logistics,Sea,2024-10-23,2024-11-12,20,23,Out for Delivery,3939.91,4,0,Heavy Rain,5.41,4,1,Traffic Jam,4.34,0.822,0.375,0.3,1.0,1,90.3
SHP100083,Los Angeles,New York,FedEx,Road,2023-12-10,2023-12-20,10,14,At Port,2839.12,3,0,Fog,3.83,9,6,None,0.22,0.915,0.025,0.33,0.8749,1,19.1
SHP100084,Dubai,Sydney,Maersk,Road,2023-07-09,2023-07-17,8,0,In Transit,311.09,2,0,Storm,8.25,8,6,None,0.22,0.849,0.024,0.21,0.7653,1,36.6
SHP100085,Hamburg,Sydney,XPO Logistics,Road,2024-01-12,2024-01-17,5,2,In Transit,4365.74,5,0,Snow,5.87,9,4,Traffic Jam,4.3,0.772,0.334,0.37,1.0,1,53.3
SHP100086,Rotterdam,Singapore,UPS,Air,2024-07-14,2024-07-17,3,5,At Port,2566.48,2,1,Clear,0.18,4,8,None,0.01,0.923,0.327,0.13,0.6098,1,34.6
SHP100087,Rotterdam,Sydney,XPO Logistics,Road,2023-01-04,2023-01-07,3,5,In Transit,3829.26,2,1,Storm,7.56,6,3,Traffic Jam,3.97,0.822,0.129,0.45,1.0,1,39.7
SHP100088,Mumbai,Sydney,Maersk,Rail,2023-05-17,2023-06-01,15,12,In Transit,2659.9,4,0,Snow,5.72,2,9,Equipment Failure,6.48,0.818,0.196,0.3,1.0,1,28.3
SHP100089,Los Angeles,London,UPS,Sea,2024-09-21,2024-10-16,25,3,In Transit,3772.05,2,0,Clear,0.17,3,9,Natural Disaster,9.54,0.892,0.187,0.19,0.713,1,13.3
SHP100090,Los Angeles,London,XPO Logistics,Road,2023-08-31,2023-09-06,6,4,At Port,3929.13,4,0,Fog,4.09,7,6,Traffic Jam,3.93,0.826,0.208,0.32,1.0,1,68.7
SHP100091,Mumbai,London,UPS,Rail,2024-04-29,2024-05-08,9,12,Customs Hold,3233.71,3,1,Blizzard,8.91,5,4,Equipment Failure,5.63,0.903,0.112,0.3,1.0,1,82.2
SHP100092,Shanghai,Chicago,XPO Logistics,Sea,2024-11-20,2024-12-10,20,6,In Transit,3478.28,2,0,Heavy Rain,4.83,3,8,Natural Disaster,9.69,0.79,0.302,0.17,1.0,1,41.7
SHP100093,Hamburg,Chicago,UPS,Road,2024-10-26,2024-11-02,7,8,Delayed,229.05,4,0,Storm,8.3,9,6,Equipment Failure,5.82,0.927,0.097,0.37,1.0,1,72.7
SHP100094,Shanghai,Tokyo,DB Schenker,Rail,2023-12-04,2023-12-18,14,17,Out for Delivery,846.74,3,1,Rain,1.76,5,3,Port Strike,9.14,0.853,0.206,0.44,1.0,1,22.6
SHP100095,Rotterdam,Singapore,FedEx,Air,2023-01-07,2023-01-12,5,2,In Transit,84.12,1,0,Blizzard,8.87,4,7,None,0.0,0.944,0.222,0.33,0.8089,1,43.9
SHP100096,Los Angeles,New York,DB Schenker,Rail,2024-06-20,2024-07-05,15,8,Customs Hold,3420.37,3,0,Clear,0.0,4,4,None,0.0,0.876,0.112,0.44,0.6724,1,43.6
SHP100097,Dubai,New York,FedEx,Rail,2024-05-02,2024-05-10,8,7,Delayed,1355.84,4,0,Storm,7.83,2,10,Equipment Failure,6.42,0.936,0.107,0.41,0.9245,1,62.5
SHP100098,Los Angeles,Chicago,DB Schenker,Air,2023-01-17,2023-01-20,3,4,Customs Hold,2504.21,1,0,Blizzard,9.33,4,3,Traffic Jam,4.04,0.878,0.166,0.34,1.0,1,10.8
SHP100099,Mumbai,London,FedEx,Road,2024-09-01,2024-09-04,3,7,At Port,3990.38,3,0,Blizzard,9.44,9,10,Equipment Failure,6.09,0.901,0.164,0.17,1.0,1,13.4
SHP100100,Hamburg,Sydney,XPO Logistics,Sea,2023-04-20,2023-05-08,18,11,Delayed,1769.89,1,0,Heavy Rain,4.59,6,1,Traffic Jam,4.05,0.831,0.175,0.26,0.9065,1,54.1
SHP100101,Los Angeles,Sydney,FedEx,Road,2024-07-26,2024-07-31,5,2,Delayed,1258.87,3,0,Storm,7.99,6,2,None,0.0,0.931,0.134,0.16,0.6769,1,48.0
SHP100102,Mumbai,Chicago,DB Schenker,Sea,2023-11-08,2023-12-08,30,21,Delayed,888.6,3,1,Clear,0.32,4,8,Port Strike,9.1,0.85,0.284,0.21,0.9468,1,88.2
SHP100103,Los Angeles,Singapore,XPO Logistics,Rail,2023-11-30,2023-12-12,12,3,At Port,2192.56,2,0,Blizzard,9.5,3,8,Port Strike,9.05,0.842,0.382,0.34,1.0,1,80.8
SHP100104,Shanghai,Sydney,XPO Logistics,Rail,2023-09-05,2023-09-18,13,2,Customs Hold,3191.08,5,0,Snow,6.08,5,9,Traffic Jam,4.29,0.804,0.157,0.29,0.9659,1,15.3
SHP100105,Hamburg,Singapore,XPO Logistics,Road,2023-02-15,2023-02-24,9,0,Customs Hold,754.15,5,0,Snow,6.25,7,10,Equipment Failure,5.89,0.842,0.313,0.26,1.0,1,49.4
SHP100106,Los Angeles,Sydney,FedEx,Air,2023-12-18,2023-12-23,5,7,Customs Hold,3385.86,1,0,Heavy Rain,4.95,1,6,Traffic Jam,4.31,0.946,0.064,0.21,0.7125,1,63.9
SHP100107,Dubai,London,DB Schenker,Sea,2024-07-27,2024-08-28,32,11,At Port,1392.08,2,0,Rain,1.9,4,4,Traffic Jam,3.93,0.881,0.022,0.26,0.6898,1,40.0
SHP100108,Rotterdam,London,UPS,Road,2023-09-26,2023-10-04,8,9,Customs Hold,2951.05,5,0,Storm,7.85,9,5,None,0.31,0.902,0.288,0.32,1.0,1,34.2
SHP100109,Hamburg,Tokyo,FedEx,Sea,2024-06-07,2024-07-08,31,27,Out for Delivery,3097.24,4,0,Snow,6.19,4,6,Port Strike,8.99,0.931,0.073,0.29,0.9844,1,90.2
SHP100110,Mumbai,London,DHL,Rail,2024-02-23,2024-03-08,14,5,At Port,3712.72,5,1,Fog,4.26,4,8,Natural Disaster,9.72,0.894,0.13,0.11,0.7925,1,44.0
SHP100111,Shanghai,Chicago,FedEx,Road,2024-07-09,2024-07-15,6,1,At Port,3878.27,1,0,Blizzard,8.75,6,8,Traffic Jam,3.85,0.917,0.33,0.26,0.9108,1,22.7
SHP100112,Dubai,Chicago,XPO Logistics,Road,2023-06-19,2023-06-25,6,9,At Port,678.38,1,1,Snow,6.04,8,9,Natural Disaster,9.79,0.82,0.238,0.44,1.0,1,88.7
SHP100113,Los Angeles,Singapore,DHL,Sea,2023-09-11,2023-10-14,33,26,Customs Hold,4751.3,4,0,Rain,2.29,3,6,Traffic Jam,4.25,0.884,0.284,0.24,0.8278,1,48.3
SHP100114,Dubai,New York,XPO Logistics,Rail,2024-07-01,2024-07-11,10,15,Out for Delivery,498.32,1,1,Blizzard,8.84,3,1,None,0.0,0.826,0.151,0.3,1.0,1,7.5
SHP100115,Hamburg,Sydney,Maersk,Air,2024-10-27,2024-10-31,4,5,Delayed,3277.6,4,0,Rain,2.4,2,4,Port Strike,9.13,0.85,0.296,0.12,0.9728,1,5.9
SHP100116,Mumbai,New York,DHL,Sea,2023-01-10,2023-02-07,28,8,At Port,3208.06,2,0,Snow,5.59,3,7,Natural Disaster,9.87,0.876,0.134,0.14,0.8499,1,10.3
SHP100117,Rotterdam,New York,DB Schenker,Sea,2024-10-05,2024-11-05,31,5,Delayed,3223.28,3,0,Heavy Rain,4.62,6,4,Port Strike,8.93,0.879,0.321,0.22,1.0,1,55.8
SHP100118,Rotterdam,Singapore,DB Schenker,Road,2023-07-30,2023-08-06,7,12,In Transit,4669.66,3,0,Blizzard,8.99,6,1,Traffic Jam,4.14,0.91,0.047,0.18,0.8528,1,34.8
SHP100119,Rotterdam,Sydney,UPS,Sea,2023-01-18,2023-02-05,18,1,Delayed,3202.87,1,0,Blizzard,8.9,5,7,None,0.0,0.953,0.178,0.32,0.7017,1,21.7
SHP100120,Los Angeles,New York,DB Schenker,Sea,2024-02-05,2024-03-03,27,3,Customs Hold,3539.65,1,0,Fog,3.62,3,2,Traffic Jam,4.24,0.872,0.301,0.21,0.8734,1,18.1
SHP100121,Los Angeles,Chicago,DB Schenker,Road,2023-10-03,2023-10-11,8,4,Customs Hold,1838.76,2,0,Heavy Rain,5.48,6,10,Port Strike,9.01,0.855,0.041,0.27,0.9692,1,73.3
SHP100122,Rotterdam,Singapore,XPO Logistics,Air,2023-01-03,2023-01-05,2,7,Customs Hold,1609.35,2,1,Snow,5.68,1,7,Equipment Failure,6.41,0.8,0.301,0.29,1.0,1,88.4
SHP100123,Los Angeles,Tokyo,FedEx,Road,2023-07-03,2023-07-06,3,1,In Transit,2819.25,3,0,Fog,4.27,8,4,None,0.05,0.949,0.023,0.25,0.5205,1,37.8
SHP100124,Hamburg,Sydney,UPS,Rail,2023-09-09,2023-09-16,7,3,Customs Hold,1026.37,1,0,Snow,6.19,2,5,Equipment Failure,5.5,0.883,0.27,0.43,1.0,1,43.8
SHP100125,Shanghai,London,XPO Logistics,Road,2024-06-16,2024-06-26,10,3,In Transit,4630.25,3,1,Clear,0.0,6,5,Port Strike,9.46,0.802,0.11,0.25,0.9165,1,63.3
SHP100126,Dubai,Tokyo,UPS,Rail,2023-07-27,2023-08-04,8,2,Out for Delivery,452.56,1,0,Rain,1.62,4,5,None,0.0,0.893,0.137,0.44,0.7189,1,57.8
SHP100127,Dubai,Chicago,FedEx,Sea,2023-09-12,2023-10-12,30,16,Out for Delivery,607.71,2,0,Rain,2.45,6,2,None,0.05,0.925,0.056,0.29,0.5692,1,46.0
SHP100128,Hamburg,London,DHL,Rail,2024-08-19,2024-08-27,8,3,Out for Delivery,4108.52,4,1,Snow,5.63,4,10,None,0.44,0.908,0.039,0.1,0.4595,0,0.0
SHP100129,Mumbai,New York,Maersk,Rail,2023-07-11,2023-07-20,9,0,Customs Hold,686.61,4,0,Heavy Rain,5.15,5,5,Port Strike,9.05,0.829,0.043,0.24,0.8687,1,55.5
SHP100130,Rotterdam,London,XPO Logistics,Air,2024-05-06,2024-05-11,5,4,Delayed,4869.91,2,0,Blizzard,8.72,3,10,Traffic Jam,4.49,0.837,0.221,0.12,0.9396,1,26.6
