shipment_id,origin,destination,carrier,transport_mode,shipment_date,planned_eta,planned_transit_days,days_in_transit,shipment_status,package_weight_kg,num_stops,customs_clearance_flag,weather_condition,weather_severity_score,traffic_congestion_level,port_congestion_score,disruption_type,disruption_impact_score,carrier_reliability_score,historical_delay_rate,route_risk_score,delay_probability,is_delayed,actual_delay_hours
SHP100021,Mumbai,Chicago,DHL,Rail,2023-10-27,2023-11-06,10,8,At Port,3872.35,5,0,Rain,1.53,4,9,Traffic Jam,4.48,0.889,0.369,0.24,0.8722,1,65.0
SHP100022,Dubai,New York,DB Schenker,Air,2023-06-08,2023-06-12,4,0,Delayed,731.23,4,0,Fog,4.49,4,1,Equipment Failure,6.36,0.862,0.149,0.1,0.6665,1,57.0
SHP100023,Shanghai,Singapore,UPS,Road,2024-02-08,2024-02-15,7,8,Customs Hold,4553.22,3,1,Blizzard,9.38,6,6,Port Strike,8.68,0.888,0.258,0.31,1.0,1,69.5
SHP100024,Mumbai,Chicago,Maersk,Rail,2023-06-05,2023-06-17,12,13,At Port,4565.61,4,0,Snow,5.93,4,1,Port Strike,9.07,0.849,0.1,0.15,1.0,1,53.9
SHP100025,Hamburg,Singapore,DHL,Road,2024-11-26,2024-12-06,10,5,Out for Delivery,4832.33,4,1,Rain,1.81,8,8,Port Strike,8.99,0.895,0.312,0.16,0.8938,1,65.5
SHP100026,Mumbai,London,DHL,Air,2023-06-02,2023-06-05,3,3,Delayed,2152.52,4,0,Storm,8.41,3,6,Traffic Jam,3.91,0.865,0.021,0.35,0.8821,1,44.5
SHP100027,Rotterdam,Sydney,UPS,Sea,2023-06-15,2023-07-08,23,21,At Port,3744.17,3,1,Fog,4.06,4,5,Port Strike,9.0,0.913,0.137,0.13,0.7657,1,4.6
SHP100028,Hamburg,Chicago,DHL,Sea,2023-09-04,2023-10-01,27,8,Customs Hold,3833.16,3,0,Snow,5.76,5,5,None,0.0,0.905,0.14,0.14,0.5898,1,27.3
SHP100029,Shanghai,London,DB Schenker,Air,2023-09-10,2023-09-12,2,4,In Transit,3967.49,1,0,Blizzard,9.39,4,2,Port Strike,8.67,0.864,0.274,0.34,1.0,1,75.4
SHP100030,Rotterdam,Singapore,UPS,Sea,2023-08-26,2023-09-20,25,22,Delayed,4140.73,2,0,Snow,6.49,6,2,Natural Disaster,10.12,0.922,0.186,0.3,1.0,1,27.2
SHP100031,Hamburg,Chicago,XPO Logistics,Rail,2023-06-12,2023-06-19,7,1,Out for Delivery,1387.98,2,0,Blizzard,9.49,5,6,None,0.05,0.83,0.203,0.18,0.8346,1,50.2
SHP100032,Dubai,New York,XPO Logistics,Rail,2024-02-17,2024-02-29,12,16,At Port,3662.71,3,1,Heavy Rain,4.68,2,7,Traffic Jam,3.74,0.86,0.189,0.2,0.8538,1,58.2
SHP100033,Dubai,Chicago,UPS,Sea,2023-03-28,2023-04-15,18,5,In Transit,148.14,3,1,Rain,2.16,4,2,Equipment Failure,5.62,0.906,0.159,0.42,0.906,1,34.1
SHP100034,Shanghai,New York,Maersk,Rail,2024-04-03,2024-04-18,15,4,Out for Delivery,2682.26,4,0,Storm,8.12,5,4,Port Strike,8.89,0.851,0.112,0.35,1.0,1,15.8
SHP100035,Shanghai,Tokyo,FedEx,Road,2023-01-25,2023-01-30,5,6,Out for Delivery,3079.78,4,0,Fog,3.98,6,1,None,0.47,0.883,0.216,0.28,0.789,1,73.0
SHP100036,Mumbai,Sydney,FedEx,Air,2024-08-21,2024-08-24,3,7,Customs Hold,1366.9,1,0,Snow,6.0,3,9,Port Strike,8.8,0.93,0.387,0.3,1.0,1,30.0
SHP100037,Dubai,Sydney,Maersk,Rail,2023-07-28,2023-08-07,10,15,Delayed,2416.34,4,0,Snow,5.98,4,9,Traffic Jam,4.45,0.864,0.392,0.25,1.0,1,63.0
SHP100038,Hamburg,Sydney,FedEx,Air,2024-09-10,2024-09-14,4,1,In Transit,4148.51,1,1,Clear,0.0,4,1,Traffic Jam,3.53,0.934,0.085,0.28,0.6397,1,7.1
SHP100039,Shanghai,London,Maersk,Sea,2023-10-11,2023-11-15,35,9,Delayed,2612.84,5,0,Blizzard,8.99,6,8,Traffic Jam,4.17,0.835,0.151,0.11,0.8682,1,27.7
SHP100040,Los Angeles,Chicago,Maersk,Air,2023-10-01,2023-10-05,4,5,Customs Hold,2618.37,2,0,Heavy Rain,4.52,4,10,None,0.07,0.827,0.035,0.1,0.5807,1,12.9
SHP100041,Shanghai,Singapore,UPS,Air,2023-10-11,2023-10-16,5,6,Delayed,3956.05,5,0,Storm,7.86,4,6,Natural Disaster,10.05,0.955,0.336,0.2,1.0,1,29.2
SHP100042,Los Angeles,Chicago,XPO Logistics,Rail,2023-10-29,2023-11-05,7,3,In Transit,4511.77,2,1,Storm,7.78,4,1,None,0.0,0.82,0.371,0.31,0.9656,1,90.1
SHP100043,Shanghai,New York,XPO Logistics,Rail,2024-11-20,2024-12-04,14,1,At Port,964.3,5,0,Heavy Rain,5.15,2,1,Port Strike,9.36,0.794,0.187,0.35,1.0,1,42.3
SHP100044,Dubai,Chicago,UPS,Road,2023-03-27,2023-04-04,8,9,In Transit,2725.62,4,1,Rain,1.77,6,6,Natural Disaster,10.37,0.924,0.088,0.45,1.0,1,60.0
SHP100045,Hamburg,Chicago,UPS,Sea,2024-11-12,2024-12-01,19,3,At Port,178.3,2,1,Snow,5.83,5,7,Equipment Failure,5.65,0.924,0.382,0.29,0.9442,1,47.3
SHP100046,Rotterdam,London,DHL,Air,2023-10-02,2023-10-07,5,6,At Port,2970.02,3,0,Blizzard,8.5,4,5,Natural Disaster,10.29,0.862,0.1,0.42,1.0,1,72.8
SHP100047,Rotterdam,Sydney,DHL,Road,2023-05-13,2023-05-16,3,8,At Port,4075.65,5,0,Heavy Rain,5.1,9,4,Port Strike,9.46,0.868,0.311,0.35,1.0,1,73.4
SHP100048,Rotterdam,Singapore,DHL,Road,2023-02-04,2023-02-07,3,2,At Port,2734.45,3,0,Storm,7.58,8,8,Natural Disaster,9.63,0.904,0.214,0.44,1.0,1,71.1
SHP100049,Hamburg,Sydney,DHL,Road,2023-02-23,2023-03-01,6,3,Out for Delivery,852.6,5,0,Blizzard,9.04,8,9,Natural Disaster,10.18,0.859,0.168,0.14,1.0,1,95.3
SHP100050,Los Angeles,Singapore,DHL,Road,2024-07-10,2024-07-17,7,2,At Port,3391.01,5,0,Fog,4.15,9,3,Port Strike,9.21,0.899,0.048,0.29,0.9116,1,5.6
SHP100051,Rotterdam,New York,UPS,Road,2023-06-22,2023-06-29,7,5,At Port,453.64,4,1,Heavy Rain,4.6,8,4,Natural Disaster,10.02,0.908,0.197,0.25,1.0,1,78.5
SHP100052,Los Angeles,New York,DHL,Sea,2023-02-07,2023-03-04,25,9,Out for Delivery,512.82,4,1,Heavy Rain,5.37,3,1,Traffic Jam,3.54,0.871,0.286,0.41,0.9426,1,38.6
SHP100053,Rotterdam,Tokyo,UPS,Road,2023-04-24,2023-04-29,5,10,In Transit,2174.49,1,0,Rain,2.37,7,9,Traffic Jam,4.31,0.9,0.386,0.2,1.0,1,26.7
SHP100054,Dubai,London,Maersk,Air,2024-07-29,2024-08-03,5,2,Delayed,1943.81,4,0,Storm,7.61,2,1,Port Strike,9.3,0.851,0.176,0.3,1.0,1,18.1
SHP100055,Dubai,Chicago,UPS,Road,2024-09-24,2024-10-03,9,13,In Transit,1565.04,5,0,Snow,5.78,6,3,Port Strike,9.18,0.89,0.137,0.15,0.9973,1,34.3
SHP100056,Los Angeles,London,DB Schenker,Road,2023-12-25,2023-12-28,3,8,Out for Delivery,88.58,4,0,Fog,3.92,6,6,Natural Disaster,9.83,0.844,0.202,0.23,1.0,1,71.8
SHP100057,Los Angeles,London,DB Schenker,Rail,2024-10-09,2024-10-20,11,12,Customs Hold,545.9,3,0,Snow,6.31,2,10,None,0.0,0.887,0.127,0.29,0.7802,1,5.1
SHP100058,Dubai,New York,DB Schenker,Road,2024-03-03,2024-03-10,7,8,At Port,3056.86,2,0,Blizzard,8.87,7,3,Traffic Jam,4.29,0.885,0.091,0.41,1.0,1,70.0
SHP100059,Mumbai,Singapore,XPO Logistics,Air,2023-03-07,2023-03-10,3,3,Out for Delivery,4218.27,3,0,Snow,5.69,3,2,Port Strike,9.47,0.829,0.194,0.23,1.0,1,73.6
SHP100060,Hamburg,London,UPS,Sea,2024-06-08,2024-07-08,30,19,Delayed,360.95,2,0,Clear,0.0,4,5,Equipment Failure,6.15,0.887,0.044,0.1,0.5035,1,45.4
SHP100061,Hamburg,New York,DHL,Air,2024-04-29,2024-05-02,3,4,Customs Hold,3968.01,4,0,Blizzard,8.94,1,2,Equipment Failure,5.99,0.878,0.144,0.27,1.0,1,13.3
SHP100062,Los Angeles,New York,FedEx,Rail,2024-11-01,2024-11-10,9,14,Customs Hold,520.83,5,0,Snow,5.72,4,2,Port Strike,8.55,0.957,0.087,0.32,1.0,1,88.8
SHP100063,Dubai,London,FedEx,Air,2024-08-17,2024-08-21,4,7,In Transit,4075.31,5,0,Snow,6.02,2,9,Natural Disaster,10.49,0.943,0.206,0.15,0.9724,1,28.3
SHP100064,Dubai,Singapore,DHL,Air,2024-08-27,2024-09-01,5,1,Customs Hold,2304.31,1,1,Rain,2.16,3,3,Natural Disaster,10.06,0.894,0.342,0.15,0.8692,1,16.0
SHP100065,Mumbai,New York,Maersk,Rail,2024-10-08,2024-10-19,11,8,Customs Hold,3491.87,4,0,Clear,0.45,5,1,Natural Disaster,9.9,0.876,0.395,0.14,0.9399,1,51.1
SHP100066,Dubai,London,DHL,Air,2024-10-13,2024-10-15,2,4,Delayed,3569.23,3,0,Heavy Rain,5.33,3,6,Natural Disaster,9.95,0.882,0.045,0.14,0.9445,1,10.9
SHP100067,Rotterdam,London,DB Schenker,Air,2023-07-12,2023-07-16,4,7,Out for Delivery,637.19,4,1,Heavy Rain,5.24,2,8,Natural Disaster,9.7,0.876,0.075,0.29,1.0,1,75.2
SHP100068,Rotterdam,Sydney,Maersk,Rail,2024-10-10,2024-10-22,12,8,Delayed,3618.46,1,1,Fog,4.24,2,4,Natural Disaster,9.54,0.871,0.046,0.3,0.9181,1,84.9
SHP100069,Shanghai,New York,UPS,Rail,2023-07-17,2023-07-27,10,14,Customs Hold,4252.4,3,0,Blizzard,9.08,5,4,None,0.0,0.882,0.044,0.35,0.8673,1,33.2
SHP100070,Los Angeles,Tokyo,Maersk,Rail,2024-04-25,2024-05-06,11,12,At Port,1155.48,3,1,Fog,4.41,2,10,None,0.21,0.882,0.183,0.25,0.7166,1,44.0
SHP100071,Los Angeles,London,UPS,Sea,2024-08-30,2024-09-24,25,13,Delayed,3593.61,1,0,Storm,7.72,4,5,None,0.0,0.898,0.182,0.16,0.6347,1,59.8
SHP100072,Hamburg,Chicago,XPO Logistics,Sea,2023-04-14,2023-05-11,27,12,Out for Delivery,3982.46,5,0,Storm,7.54,4,3,None,0.2,0.852,0.125,0.23,0.7288,1,66.8
SHP100073,Rotterdam,New York,Maersk,Rail,2024-04-12,2024-04-23,11,16,Out for Delivery,1544.22,3,1,Blizzard,8.88,4,5,Equipment Failure,5.93,0.853,0.081,0.26,1.0,1,35.7
SHP100074,Rotterdam,Tokyo,UPS,Rail,2023-12-11,2023-12-20,9,6,Delayed,4446.6,3,0,Snow,5.54,4,2,Traffic Jam,3.82,0.926,0.021,0.29,0.7104,1,7.2
SHP100075,Shanghai,Chicago,DB Schenker,Sea,2024-09-26,2024-10-17,21,2,Customs Hold,1326.95,4,0,Rain,2.22,6,6,None,0.0,0.916,0.105,0.32,0.6013,1,32.5
SHP100076,Shanghai,New York,XPO Logistics,Air,2023-09-22,2023-09-26,4,1,Out for Delivery,447.37,5,0,Heavy Rain,4.65,3,1,Traffic Jam,4.13,0.825,0.231,0.35,1.0,1,63.9
SHP100077,Hamburg,Tokyo,Maersk,Road,2023-08-28,2023-09-06,9,2,At Port,2472.8,4,1,Snow,6.19,9,3,None,0.0,0.846,0.271,0.11,0.7591,1,47.7
SHP100078,Hamburg,Singapore,DB Schenker,Rail,2024-01-31,2024-02-09,9,4,Customs Hold,3717.29,1,1,Storm,8.46,4,5,None,0.4,0.878,0.385,0.33,0.9674,1,16.9
SHP100079,Mumbai,Sydney,FedEx,Air,2023-02-24,2023-02-28,4,5,At Port,1816.08,4,1,Heavy Rain,4.58,4,9,Natural Disaster,10.02,0.893,0.289,0.3,1.0,1,56.8
SHP100080,Hamburg,London,DB Schenker,Road,2024-04-27,2024-05-04,7,8,Customs Hold,416.19,3,0,Clear,0.38,7,1,None,0.0,0.865,0.378,0.1,0.7379,1,63.6
SHP100081,Mumbai,Chicago,FedEx,Road,2024-08-07,2024-08-11,4,7,At Port,3981.32,5,0,Storm,7.55,9,10,Port Strike,8.57,0.907,0.392,0.13,1.0,1,33.7
SHP100082,Dubai,New York,UPS,Road,2024-05-23,2024-05-27,4,8,Delayed,2550.66,4,1,Blizzard,8.51,6,7,None,0.0,0.916,0.246,0.38,1.0,1,47.0
SHP100083,Rotterdam,Singapore,Maersk,Air,2023-06-25,2023-06-28,3,8,In Transit,3175.17,1,0,Clear,0.0,4,4,Port Strike,8.88,0.884,0.333,0.13,1.0,1,42.9
SHP100084,Rotterdam,New York,DHL,Road,2024-08-21,2024-08-27,6,2,At Port,2027.09,5,0,Heavy Rain,5.46,7,6,Equipment Failure,5.67,0.887,0.251,0.26,1.0,1,67.8
SHP100085,Shanghai,New York,XPO Logistics,Rail,2023-04-27,2023-05-06,9,10,Delayed,709.54,4,1,Fog,4.36,2,5,Natural Disaster,10.02,0.824,0.139,0.35,1.0,1,28.5
SHP100086,Dubai,London,DB Schenker,Road,2024-10-20,2024-10-27,7,11,At Port,2371.66,5,1,Rain,1.67,7,7,Natural Disaster,10.02,0.85,0.031,0.41,1.0,1,86.4
SHP100087,Dubai,Sydney,UPS,Road,2024-08-03,2024-08-07,4,5,Out for Delivery,652.02,3,0,Blizzard,8.71,9,10,Port Strike,9.28,0.93,0.086,0.15,1.0,1,86.9
SHP100088,Rotterdam,Singapore,UPS,Sea,2024-10-27,2024-11-16,20,17,At Port,4714.63,4,0,Blizzard,8.84,5,8,Natural Disaster,9.7,0.911,0.074,0.16,0.9089,1,78.7
SHP100089,Rotterdam,London,Maersk,Road,2023-07-16,2023-07-19,3,5,In Transit,3155.05,5,0,Fog,3.98,6,9,Traffic Jam,4.11,0.873,0.064,0.14,0.7688,1,43.0
SHP100090,Shanghai,New York,DB Schenker,Road,2023-04-06,2023-04-16,10,11,Delayed,2206.24,4,1,Rain,1.62,8,8,Port Strike,8.85,0.865,0.382,0.35,1.0,1,78.8
SHP100091,Los Angeles,Tokyo,DB Schenker,Sea,2023-05-17,2023-06-08,22,20,Customs Hold,4289.8,4,1,Rain,2.42,5,10,Equipment Failure,5.6,0.89,0.349,0.25,0.9029,1,68.0
SHP100092,Los Angeles,New York,XPO Logistics,Sea,2023-12-02,2023-12-24,22,13,Out for Delivery,4886.62,3,0,Clear,0.49,3,7,Equipment Failure,6.37,0.843,0.097,0.23,0.6806,1,45.0
SHP100093,Los Angeles,Chicago,FedEx,Rail,2023-10-10,2023-10-20,10,8,At Port,3679.24,3,1,Heavy Rain,4.62,5,6,Traffic Jam,4.26,0.935,0.167,0.2,0.7473,1,22.5
SHP100094,Dubai,Sydney,DB Schenker,Air,2023-03-04,2023-03-08,4,3,Customs Hold,1612.31,5,0,Heavy Rain,4.93,4,5,Traffic Jam,3.7,0.84,0.281,0.34,1.0,1,79.0
SHP100095,Dubai,New York,Maersk,Sea,2023-12-17,2024-01-08,22,18,Delayed,2037.16,1,1,Clear,0.26,5,1,None,0.0,0.84,0.061,0.11,0.5037,1,7.2
SHP100096,Los Angeles,Tokyo,XPO Logistics,Rail,2024-01-14,2024-01-21,7,12,Delayed,4783.45,2,0,Snow,5.84,4,6,None,0.24,0.795,0.234,0.25,1.0,1,79.4
SHP100097,Dubai,New York,FedEx,Air,2024-10-19,2024-10-21,2,5,Delayed,860.74,5,1,Snow,5.72,1,7,None,0.0,0.938,0.333,0.12,0.8285,1,61.5
SHP100098,Shanghai,New York,XPO Logistics,Rail,2023-11-23,2023-12-06,13,2,Customs Hold,1888.77,2,1,Heavy Rain,4.69,4,10,None,0.0,0.835,0.182,0.35,0.7595,1,20.5
SHP100099,Hamburg,Singapore,DHL,Sea,2023-06-25,2023-07-24,29,14,Delayed,1410.5,3,1,Snow,6.36,5,4,Traffic Jam,3.73,0.886,0.397,0.32,1.0,1,55.8
SHP100100,Los Angeles,New York,DHL,Air,2023-06-28,2023-07-01,3,8,Delayed,4378.6,4,0,Heavy Rain,4.79,3,1,Traffic Jam,3.76,0.86,0.136,0.35,1.0,1,57.6
SHP100101,Hamburg,Tokyo,UPS,Road,2024-11-20,2024-11-29,9,5,Customs Hold,3548.26,4,0,Heavy Rain,5.06,7,10,Traffic Jam,4.1,0.937,0.044,0.44,0.9,1,30.2
SHP100102,Los Angeles,Singapore,UPS,Rail,2024-05-28,2024-06-09,12,0,Customs Hold,3345.21,3,0,Snow,6.44,5,5,Traffic Jam,4.4,0.924,0.15,0.2,0.7195,1,67.0
SHP100103,Dubai,Tokyo,XPO Logistics,Air,2024-03-04,2024-03-09,5,7,Customs Hold,1112.96,3,0,Heavy Rain,4.98,4,6,Natural Disaster,10.43,0.834,0.075,0.2,1.0,1,82.4
SHP100104,Los Angeles,Sydney,Maersk,Road,2024-03-28,2024-04-06,9,14,Out for Delivery,1232.67,1,0,Rain,2.39,7,5,Equipment Failure,5.56,0.852,0.283,0.13,0.8943,1,37.5
SHP100105,Los Angeles,Sydney,DB Schenker,Air,2024-02-23,2024-02-25,2,4,At Port,3589.33,5,0,Snow,5.6,4,1,None,0.0,0.855,0.327,0.3,1.0,1,84.6
SHP100106,Rotterdam,Tokyo,DHL,Air,2024-04-14,2024-04-19,5,7,Delayed,3887.1,5,1,Clear,0.23,1,9,Port Strike,8.5,0.854,0.131,0.44,1.0,1,7.0
SHP100107,Rotterdam,Tokyo,DHL,Rail,2024-02-17,2024-02-25,8,6,Customs Hold,568.8,4,0,Storm,8.43,4,4,Traffic Jam,4.14,0.898,0.17,0.19,0.8864,1,79.6
SHP100108,Dubai,Sydney,UPS,Road,2024-07-27,2024-08-05,9,1,Customs Hold,789.58,2,1,Clear,0.0,7,10,Natural Disaster,10.47,0.903,0.162,0.27,0.8863,1,20.6
SHP100109,Shanghai,Chicago,Maersk,Air,2024-01-28,2024-02-01,4,4,In Transit,4316.04,2,0,Clear,0.25,1,9,Natural Disaster,9.65,0.853,0.299,0.41,1.0,1,47.7
SHP100110,Shanghai,New York,XPO Logistics,Rail,2023-02-15,2023-02-28,13,17,At Port,3703.43,1,0,Heavy Rain,4.9,2,2,None,0.01,0.832,0.215,0.35,0.933,1,40.0
SHP100111,Dubai,London,Maersk,Sea,2023-09-25,2023-10-29,34,12,Customs Hold,3562.75,5,1,Heavy Rain,4.88,4,2,Traffic Jam,4.11,0.862,0.309,0.17,0.8039,1,33.6
SHP100112,Shanghai,Tokyo,XPO Logistics,Road,2023-05-31,2023-06-09,9,11,Out for Delivery,3632.9,4,1,Fog,4.12,7,10,None,0.07,0.83,0.175,0.22,0.8201,1,36.2
SHP100113,Mumbai,Chicago,XPO Logistics,Rail,2024-06-21,2024-07-03,12,10,Out for Delivery,1694.73,4,1,Rain,1.9,2,10,Natural Disaster,10.16,0.807,0.091,0.15,0.8454,1,74.1
SHP100114,Hamburg,Chicago,DB Schenker,Rail,2023-03-21,2023-04-02,12,7,Out for Delivery,427.67,1,1,Rain,1.54,4,7,None,0.44,0.837,0.199,0.39,0.9004,1,76.8
SHP100115,Hamburg,Singapore,DHL,Rail,2024-08-05,2024-08-15,10,2,Customs Hold,1112.58,3,1,Snow,5.54,3,3,Traffic Jam,3.8,0.887,0.148,0.1,0.627,1,16.6
SHP100116,Shanghai,Singapore,XPO Logistics,Road,2023-11-27,2023-12-04,7,0,Delayed,1561.35,5,0,Storm,8.04,8,9,Traffic Jam,3.5,0.845,0.37,0.23,1.0,1,28.0
SHP100117,Rotterdam,New York,DB Schenker,Air,2023-03-27,2023-03-31,4,3,Customs Hold,4170.44,2,0,Fog,4.09,1,5,None,0.0,0.881,0.283,0.32,0.859,1,39.1
SHP100118,Mumbai,Singapore,Maersk,Rail,2023-11-11,2023-11-24,13,3,Delayed,842.61,2,0,Clear,0.23,4,1,None,0.44,0.832,0.105,0.39,0.6945,1,65.8
SHP100119,Mumbai,Sydney,XPO Logistics,Rail,2024-03-05,2024-03-17,12,9,Delayed,1500.49,4,1,Fog,3.58,3,8,Port Strike,8.75,0.818,0.29,0.3,1.0,1,10.1
SHP100120,Mumbai,Tokyo,FedEx,Road,2023-02-16,2023-02-25,9,2,At Port,2729.09,4,0,Heavy Rain,4.83,9,8,Port Strike,8.66,0.896,0.074,0.13,0.8602,1,23.6
SHP100121,Rotterdam,Singapore,FedEx,Sea,2023-04-14,2023-05-11,27,8,At Port,2617.11,1,1,Storm,7.78,4,7,None,0.0,0.904,0.045,0.23,0.6039,1,51.0
SHP100122,Shanghai,London,DHL,Road,2023-02-11,2023-02-15,4,7,Delayed,1063.42,1,1,Storm,8.14,6,8,Natural Disaster,9.58,0.877,0.16,0.37,1.0,1,75.5
SHP100123,Shanghai,Chicago,DHL,Road,2023-09-05,2023-09-12,7,12,Customs Hold,1675.23,2,1,Rain,2.06,9,5,Natural Disaster,10.43,0.883,0.028,0.36,1.0,1,51.3
SHP100124,Rotterdam,London,XPO Logistics,Road,2023-06-18,2023-06-26,8,11,In Transit,1807.07,1,0,Snow,6.18,7,10,Traffic Jam,4.21,0.848,0.025,0.45,1.0,1,85.3
SHP100125,Dubai,London,DB Schenker,Rail,2024-09-24,2024-10-09,15,11,Customs Hold,4888.33,3,0,Snow,6.38,4,4,Natural Disaster,9.54,0.882,0.398,0.27,1.0,1,40.8
SHP100126,Los Angeles,Tokyo,XPO Logistics,Road,2024-07-15,2024-07-20,5,10,Delayed,1465.74,2,0,Fog,3.97,9,1,Equipment Failure,5.76,0.812,0.142,0.25,1.0,1,53.3
SHP100127,Dubai,Chicago,DB Schenker,Sea,2023-04-11,2023-05-04,23,25,At Port,3276.58,5,1,Heavy Rain,5.43,5,2,None,0.36,0.857,0.307,0.25,0.938,1,55.9
SHP100128,Hamburg,Sydney,XPO Logistics,Air,2023-06-02,2023-06-06,4,3,At Port,3655.79,2,0,Snow,6.02,2,8,None,0.38,0.83,0.323,0.11,0.7759,1,47.0
SHP100129,Rotterdam,New York,XPO Logistics,Road,2023-05-01,2023-05-08,7,5,At Port,809.15,3,1,Storm,8.36,7,7,Port Strike,9.07,0.778,0.257,0.27,1.0,1,66.6
SHP100130,Shanghai,Singapore,UPS,Road,2023-08-11,2023-08-16,5,10,At Port,2043.45,5,0,Fog,4.34,7,2,Port Strike,9.38,0.924,0.312,0.16,1.0,1,7.8
SHP100131,Shanghai,London,DB Schenker,Rail,2023-10-04,2023-10-11,7,1,At Port,3656.59,5,0,Snow,5.7,5,10,Port Strike,9.21,0.897,0.344,0.16,0.9874,1,73.5
